Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football Div.3 League,30 May,19:30,Rush,St Maurs,"
										W/O
									","
										W/O
									",St Patricks D,Cian Comiskey - Fingallians
U16 Football Div.3 League,25 May,15:05,Hartstown Park,St Peregrines,"
										4-7
									","
										3-19
									",Naomh Barrog,Fergus McGreevy Nh. OP/ER
U16 Football Div.3 League,30 Apr,19:00,Bohernabreena,St Annes,"
										0-11
									","
										2-9
									",Ballyboden St Endas B,Tommie Clinton-Croi Ro Naofa
U16 Football Div.3 League,30 Apr,19:00,Martin Savage Park,Naomh OP ER,"
										3-20
									","
										0-7
									",St Maurs,Kenneth Rooney Naomh Fionnbarra
U16 Football Div.3 League,30 Apr,19:00,Ballamastone-Donabate,St Patricks D,"
										3-14
									","
										2-3
									",St Peregrines,Robert Fennelly  Trinity Gaels
U16 Football Div.3 League,30 Apr,19:00,St Annes 14,Naomh Barrog,"
										1-13
									","
										0-9
									",Thomas Davis,Damien Burnett  Craobh Chiarain
U16 Football Div.3 League,30 Apr,19:00,Lusk,Round Towers L,"
										W/O
									","
										W/O
									",Parnells,PJ Murray-St Finians S
U16 Football Div.3 League,06 Apr,15:30,Lusk,Round Towers L,"
										4-14
									","
										1-7
									",St Annes,Cian Comiskey - Fingallians
U16 Football Div.3 League,06 Apr,15:30,Rush,St Maurs,"
										0-5
									","
										8-9
									",Ballyboden St Endas B,Jonny Jackson - Thomas Davis
U16 Football Div.3 League,06 Apr,15:30,Chanel,Parnells,"
										1-6
									","
										8-6
									",Naomh Barrog,Conor Flaherty - Raheny
U16 Football Div.3 League,06 Apr,15:30,Kiltipper Rd,Thomas Davis,"
										5-7
									","
										5-10
									",St Patricks D,Robert Doyle - Round Towers C
U16 Football Div.3 League,06 Apr,15:30,Hartstown Park,St Peregrines,"
										5-8
									","
										3-15
									",Naomh OP ER,John Doherty Robert Emmets
U16 Football Div.3 League,23 Mar,15:00,Bohernabreena,St Annes,"
										2-9
									","
										4-12
									",St Maurs,Kevin Doherty Garda
U16 Football Div.3 League,23 Mar,15:00,Martin Savage Park,Naomh OP ER,"
										3-20
									","
										2-6
									",Thomas Davis,Luke Lacey Na Fianna
U16 Football Div.3 League,23 Mar,15:00,Ballamastone-Donabate,St Patricks D,"
										0-10
									","
										0-1
									",Parnells,PJ Murray-St Finians S
U16 Football Div.3 League,23 Mar,15:00,St Annes 14,Naomh Barrog,"
										6-10
									","
										0-3
									",Round Towers L,Sean McCarthy-St Vincents
U16 Football Div.3 League,23 Mar,13:30,Ballycullen,Ballyboden St Endas B,"
										11-12
									","
										5-10
									",St Peregrines,Seamus Farrelly  Ballinteer St. John
U16 Football Div.3 League,09 Mar,15:00,St Annes 14,Naomh Barrog,"
										8-18
									","
										0-4
									",St Annes,Chris McGinn Clontarf
U16 Football Div.3 League,09 Mar,15:00,Kiltipper Rd,Thomas Davis,"
										0-4
									","
										5-12
									",Ballyboden St Endas B,Darren Malone St Marys
U16 Football Div.3 League,09 Mar,15:00,Hartstown Park,St Peregrines,"
										4-16
									","
										4-11
									",St Maurs,Adam Kelly - Lucan Sarsfields
U16 Football Div.3 League,09 Mar,15:00,Chanel,Parnells,"
										1-5
									","
										5-12
									",Naomh OP ER,John Dunning  St Brigids
U16 Football Div.3 League,23 Feb,15:00,Bohernabreena,St Annes,"
										2-9
									","
										6-13
									",St Peregrines,Tommie Clinton-Croi Ro Naofa
U16 Football Div.3 League,23 Feb,15:00,Rush,St Maurs,"
										0-9
									","
										2-17
									",Thomas Davis,Finbar Gaffney Na Fianna
U16 Football Div.3 League,23 Feb,15:00,Ballycullen,Ballyboden St Endas B,"
										2-11
									","
										10-12
									",Parnells,Senan Finucane-Templeogue Synge Street
U16 Football Div.3 League,23 Feb,15:00,Martin Savage Park,Naomh OP ER,"
										0-9
									","
										1-13
									",Round Towers L,Ciarán Reilly  Na Fianna
U16 Football Div.3 League,23 Feb,15:00,Ballamastone-Donabate,St Patricks D,"
										1-10
									","
										0-11
									",Naomh Barrog,Karl Keane  Fingallians
U16 Football Div.3 League,16 Feb,15:00,Ballamastone-Donabate,St Patricks D,"
										5-12
									","
										1-6
									",St Annes,Brian Doran St Colmcilles
U16 Football Div.3 League,16 Feb,15:00,Lusk,Round Towers L,"
										1-15
									","
										3-7
									",Ballyboden St Endas B,Ciarán Reilly  Na Fianna
U16 Football Div.3 League,16 Feb,15:00,Chanel,Parnells,"
										5-14
									","
										2-9
									",St Maurs,Danny Harrington St Sylvesters
U16 Football Div.3 League,16 Feb,15:00,Kiltipper Rd,Thomas Davis,"
										4-12
									","
										1-5
									",St Peregrines,Anthony Clinton-Croi Ro Naofa
U16 Football Div.3 League,16 Feb,15:00,St Annes 14,Naomh Barrog,"
										4-7
									","
										2-5
									",Naomh OP ER,Eamon Byrce Whitehall Colmcille
U16 Football Div.3 League,09 Feb,15:00,Bohernabreena,St Annes,"
										3-7
									","
										2-4
									",Thomas Davis,Ronnie Malone-St Marys
U16 Football Div.3 League,09 Feb,15:00,Hartstown Park,St Peregrines,"
										8-8
									","
										1-11
									",Parnells,Fergus McGreevy Nh. OP/ER
U16 Football Div.3 League,09 Feb,15:00,Rush,St Maurs,"
										3-3
									","
										1-13
									",Round Towers L,Cian Comiskey - Fingallians
U16 Football Div.3 League,09 Feb,15:00,Ballycullen,Ballyboden St Endas B,"
										3-6
									","
										6-7
									",Naomh Barrog,Philip Carr-Round Towers C
U16 Football Div.3 League,09 Feb,15:00,Martin Savage Park,Naomh OP ER,"
										2-5
									","
										2-7
									",St Patricks D,Ciarán Reilly  Na Fianna
U16 Football Div.5 League,11 Jul,19:30,Porterstown,Castleknock B,"
										2-6
									","
										0-7
									",Naomh Fionnbarra,Mark Hanley - Lucan Sarsfields
U16 Football Div.5 League,06 Jul,14:00,John Paul Park,Naomh Fionnbarra,"
										9-10
									","
										2-2
									",Na Dubh Ghall,Sean Dunican - Nh. OP/ER
U16 Football Div.5 League,27 Jun,19:30,Silver Park,Kilmacud Crokes B,"
										4-7
									","
										7-17
									",Clanna Gael Fontenoy,Richard Sheil Nh. Olaf
U16 Football Div.5 League,25 Jun,19:30,Racecourse,Na Dubh Ghall,"
										2-6
									","
										3-10
									",O Dwyers A,George Williams -Trinity Gaels
U16 Football Div.5 League,25 Jun,19:30,Porterstown,Castleknock B,"
										2-12
									","
										3-4
									",Lucan Sarsfields B,Ger Delaney Ballyboden St Enda
U16 Football Div.5 League,25 Jun,19:30,Clonshaugh,Craobh Chiarain,"
										6-8
									","
										3-11
									",St Peters,Mikey Dowling St Sylvesters
U16 Football Div.5 League,25 Jun,19:30,John Paul Park,Naomh Fionnbarra,"
										5-12
									","
										4-12
									",St Patricks P,Luke Lacey Na Fianna
U16 Football Div.5 League,30 May,19:30,John Paul Park,Naomh Fionnbarra,"
										4-12
									","
										6-12
									",O Dwyers A,Andrew Larkin  St Peregrines
U16 Football Div.5 League,30 May,19:30,Glenaulin Park,St Patricks P,"
										4-22
									","
										0-5
									",Kilmacud Crokes B,Laurence Kelly-Naomh Fionnbarra
U16 Football Div.5 League,30 May,19:30,Sean Moore Park,Clanna Gael Fontenoy,"
										9-12
									","
										2-11
									",Craobh Chiarain,Conor Flannery GP Moran
U16 Football Div.5 League,30 May,19:30,12th Lock,Lucan Sarsfields B,"
										5-18
									","
										1-7
									",Na Dubh Ghall,Eamon O Dowd-Ballyfermot De La Salle
U16 Football Div.5 League,25 May,11:00,Newcastle,St Peters,"
										0-6
									","
										4-10
									",Castleknock B,Mick Joyce St Colmcilles
U16 Football Div.5 League,30 Apr,19:00,Bremore Park,O Dwyers A,"
										4-12
									","
										3-5
									",Lucan Sarsfields B,Damien Gilmore-Skerries Harps
U16 Football Div.5 League,30 Apr,19:00,Racecourse,Na Dubh Ghall,"
										4-6
									","
										8-13
									",St Peters,Brian Moore Craobh Chiaran
U16 Football Div.5 League,30 Apr,19:00,Porterstown,Castleknock B,"
										6-3
									","
										8-20
									",Clanna Gael Fontenoy,Ciarán Reilly  Na Fianna
U16 Football Div.5 League,30 Apr,19:00,Clonshaugh,Craobh Chiarain,"
										0-1
									","
										5-11
									",St Patricks P,Brian Doran St Colmcilles
U16 Football Div.5 League,30 Apr,19:00,Silver Park,Kilmacud Crokes B,"
										2-10
									","
										3-12
									",Naomh Fionnbarra,Eamonn Dromgoole English - Cuala
U16 Football Div.5 League,06 Apr,15:30,Silver Park,Kilmacud Crokes B,"
										2-7
									","
										4-8
									",O Dwyers A,Caomhan Bermingham Nh. Olaf
U16 Football Div.5 League,06 Apr,15:30,Naul,St Peters,"
										1-10
									","
										1-8
									",Lucan Sarsfields B,Damien Gilmore-Skerries Harps
U16 Football Div.5 League,06 Apr,15:30,John Paul Park,Naomh Fionnbarra,"
										W/O
									","
										W/O
									",Craobh Chiarain,Fergus McGreevy Nh. OP/ER
U16 Football Div.5 League,06 Apr,15:30,Glenaulin Park,St Patricks P,"
										W/O
									","
										W/O
									",Castleknock B,Craig Prendergast - Thomas Davis
U16 Football Div.5 League,06 Apr,15:30,Sean Moore Park,Clanna Gael Fontenoy,"
										6-11
									","
										4-3
									",Na Dubh Ghall,TBC
U16 Football Div.5 League,23 Mar,15:00,Bremore Park,O Dwyers A,"
										2-11
									","
										4-4
									",St Peters,Robert Fennelly  Trinity Gaels
U16 Football Div.5 League,23 Mar,15:00,Racecourse,Na Dubh Ghall,"
										1-6
									","
										4-16
									",St Patricks P,Conor Flaherty - Raheny
U16 Football Div.5 League,23 Mar,15:00,Clonshaugh,Craobh Chiarain,"
										5-4
									","
										4-10
									",Kilmacud Crokes B,Derek Doran  St Colmcilles
U16 Football Div.5 League,23 Mar,13:30,12th Lock,Lucan Sarsfields B,"
										W/O
									","
										W/O
									",Clanna Gael Fontenoy,Andrew Larkin  St Peregrines
U16 Football Div.5 League,09 Mar,15:00,Clonshaugh,Craobh Chiarain,"
										1-9
									","
										4-6
									",O Dwyers A,Robert Fennelly  Trinity Gaels
U16 Football Div.5 League,09 Mar,15:00,Glenaulin Park,St Patricks P,"
										5-9
									","
										1-2
									",Lucan Sarsfields B,Seamus Ashton - Nh. OP/ER
U16 Football Div.5 League,09 Mar,15:00,Sean Moore Park,Clanna Gael Fontenoy,"
										2-10
									","
										2-4
									",St Peters,Damien Burnett  Craobh Chiarain
U16 Football Div.5 League,09 Mar,15:00,Silver Park,Kilmacud Crokes B,"
										9-11
									","
										2-4
									",Castleknock B,Senan Finucane-Templeogue Synge Street
U16 Football Div.5 League,23 Feb,15:00,Bremore Park,O Dwyers A,"
										8-4
									","
										0-8
									",Clanna Gael Fontenoy,Robert Fennelly  Trinity Gaels
U16 Football Div.5 League,23 Feb,15:00,Naul,St Peters,"
										1-8
									","
										1-8
									",St Patricks P,Ian Howley-O Dwyers
U16 Football Div.5 League,23 Feb,15:00,12th Lock,Lucan Sarsfields B,"
										3-13
									","
										3-6
									",Naomh Fionnbarra,Ronnie Malone-St Marys
U16 Football Div.5 League,23 Feb,15:00,Racecourse,Na Dubh Ghall,"
										4-14
									","
										1-8
									",Kilmacud Crokes B,Ronan Quinn Raheny
U16 Football Div.5 League,23 Feb,13:30,Porterstown,Castleknock B,"
										3-13
									","
										3-6
									",Craobh Chiarain,Sean Dunican - Nh. OP/ER
U16 Football Div.5 League,16 Feb,15:00,Porterstown,Castleknock B,"
										0-3
									","
										9-12
									",O Dwyers A,John Dunning  St Brigids
U16 Football Div.5 League,16 Feb,15:00,Silver Park,Kilmacud Crokes B,"
										2-6
									","
										1-11
									",Lucan Sarsfields B,Caomhan Bermingham Nh. Olaf
U16 Football Div.5 League,16 Feb,15:00,John Paul Park,Naomh Fionnbarra,"
										3-9
									","
										0-10
									",St Peters,Luke Lacey Na Fianna
U16 Football Div.5 League,16 Feb,15:00,Glenaulin Park,St Patricks P,"
										W/O
									","
										W/O
									",Clanna Gael Fontenoy,Mark Hanley - Lucan Sarsfields
U16 Football Div.5 League,16 Feb,15:00,Clonshaugh,Craobh Chiarain,"
										8-6
									","
										3-7
									",Na Dubh Ghall,Michael Noonan Whitehall Colmcille
U16 Football Div.5 League,09 Feb,15:00,Bremore Park,O Dwyers A,"
										0-6
									","
										4-8
									",St Patricks P,Damien Gilmore-Skerries Harps
U16 Football Div.5 League,09 Feb,15:00,Sean Moore Park,Clanna Gael Fontenoy,"
										4-5
									","
										3-11
									",Naomh Fionnbarra,Damien Burnett  Craobh Chiarain
U16 Football Div.5 League,09 Feb,15:00,Naul,St Peters,"
										4-3
									","
										3-7
									",Kilmacud Crokes B,Robert Fennelly  Trinity Gaels
U16 Football Div.5 League,09 Feb,15:00,12th Lock,Lucan Sarsfields B,"
										1-8
									","
										4-10
									",Craobh Chiarain,D P Ryan-St Patricks P
U16 Football Div.5 League,09 Feb,15:00,Racecourse,Na Dubh Ghall,"
										W/O
									","
										W/O
									",Castleknock B,Tim McCarthy Snr-St Vincents
U16 Football Div.7 League,06 Jul,14:00,Townparks,Skerries Harps B,"
										W/O
									","
										W/O
									",St Judes B,PJ Murray-St Finians S
U16 Football Div.7 League,25 Jun,19:30,Collinstown,Na Fianna B,"
										W/O
									","
										W/O
									",Ballyboden St Endas C,Eamon Bryce Whitehall Colmcille
U16 Football Div.7 League,25 Jun,19:30,Tymon Park,St Judes B,"
										W/O
									","
										W/O
									",Clontarf B,D P Ryan-St Patricks P
U16 Football Div.7 League,25 Jun,19:30,Bremore Park,O Dwyers B,"
										1-8
									","
										10-5
									",Skerries Harps B,TBC
U16 Football Div.7 League,25 Jun,19:30,Killinarden Park,Croi Ro Naofa,"
										1-7
									","
										9-14
									",Naomh Olaf B,D P Ryan-St Patricks P
U16 Football Div.7 League,30 Apr,19:00,Ballycullen,Ballyboden St Endas C,"
										3-13
									","
										1-9
									",Croi Ro Naofa,Seamus Keher - Lucan Sarsfields
U16 Football Div.7 League,30 Apr,19:00,Pc Ui Bhriain,Naomh Olaf B,"
										6-12
									","
										1-4
									",Na Fianna B,Darren Delaney Wanderers
U16 Football Div.7 League,30 Apr,19:00,St Annes 23,Clontarf B,"
										4-6
									","
										3-10
									",O Dwyers B,Eamon Bryce Whitehall Colmcille
U16 Football Div.7 League,06 Apr,15:30,Bremore Park,O Dwyers B,"
										6-9
									","
										7-6
									",Ballyboden St Endas C,Robert Fennelly  Trinity Gaels
U16 Football Div.7 League,06 Apr,15:30,Killinarden Park,Croi Ro Naofa,"
										W/O
									","
										W/O
									",Clontarf B,Ger Delaney Ballyboden St Enda
U16 Football Div.7 League,06 Apr,14:00,Townparks,Skerries Harps B,"
										2-4
									","
										4-8
									",Na Fianna B,Alan Howley O Dwyers
U16 Football Div.7 League,06 Apr,14:00,Tymon Park,St Judes B,"
										0-6
									","
										5-13
									",Naomh Olaf B,Senan Finucane-Templeogue Synge Street
U16 Football Div.7 League,23 Mar,15:00,Ballycullen,Ballyboden St Endas C,"
										3-14
									","
										1-8
									",St Judes B,Sean Kelly - Lucan Sarsfields
